Rank,Name,NameASCII,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,hot_composite
56,Sang-hyeon Ahn 안상현,Sang-hyeon Ahn,Landers (KBO),29.0,209,77.50073283507568,0.095693779,0.263157894,0.095505618,4.271967801644742,-0.5831912711206249,0.17592461780474966,1.08660298282561,-0.5452037905632497,0.07049340379534959,-0.39595809204195653
57,Do-hwan Kim 김도환,Do-hwan Kim,Lions (KBO),26.0,110,85.71931717870724,0.1,0.272727272,0.10989011,1.130760365,-0.30456724848990513,0.3215086963736408,1.2528988356559398,-0.32484888424594266,-1.3699109311636244,-0.4008886957675033
58,Min-jae Jeon 전민재,Min-jae Jeon,Giants (KBO),27.0,409,85.59550538141967,0.061124694,0.200488997,0.112903226,3.9338390736994766,-0.3087646795275429,-0.9927818621215428,-0.0024518828669222756,-0.2786911962369968,-0.0845559189029164,-0.40465091809630127
59,Bon-hyeok Gu 구본혁,Bon-hyeok Gu,Twins (KBO),29.0,296,80.293960119008,0.070945945,0.121621621,0.026923077,3.5851113490692166,-0.488496103506489,-0.6607464702480648,-1.3730025657232434,-1.5958143645798972,-0.24446542389706719,-0.44939447906116253
60,Jeong-won Choi 최정원,Jeong-won Choi,Dinos (KBO),26.0,199,89.33618124581795,0.055276381,0.175879396,0.028901734,6.750562697169088,-0.18194938955562578,-1.1905007574795534,-0.43011547668766276,-1.5655034729704413,1.2070559849453275,-0.4800877808329823
61,Gun Hee Kim 김건희,Gun Hee Kim,Heroes (KBO),21.0,392,90.65076804038762,0.071428571,0.25510204,0.129577465,0.7999084212500001,-0.13738265573801353,-0.6444299222809748,0.9466090238445117,-0.023259834965608826,-1.5216234759792375,-0.50112794545937
62,Do-yun Lee 이도윤,Do-yun Lee,Eagles (KBO),29.0,350,75.66120743088668,0.048571428,0.142857142,0.084639499,4.737101775612161,-0.6455543188690728,-1.4171808104430967,-1.0039734527556745,-0.7116610164616485,0.28378113023566415,-0.5113195706269081
63,Kyu-sung Kim 김규성,Kyu-sung Kim,Tigers (KBO),29.0,197,56.23821167749672,0.086294416,0.208121827,0.063953488,6.691253214879821,-1.3040269927599648,-0.14184764736453218,0.13019080032094266,-1.0285483987886563,1.1798595526444784,-0.5339223542105472
64,Min Park 박민,Min Park,Tigers (KBO),25.0,183,48.73645948273669,0.076502732,0.169398907,0.0875,4.995785425539952,-1.5583491832844807,-0.47288344250318254,-0.5427328740788588,-0.6678412256845004,0.40240081971946334,-0.5976438476642647
65,Si Won Park 박시원,Si Won Park,Dinos (KBO),25.0,115,56.55925961312198,0.078260869,0.226086956,0.108910891,4.368326020889629,-1.293142920328377,-0.41344460851327036,0.44238731385211294,-0.33984946341197286,0.11467857765241771,-0.6141641602218005
66,Dae-han Kim 김대한,Dae-han Kim,Bears (KBO),25.0,110,70.31493878186866,0.054545454,0.218181818,0.111111111,4.261224074506025,-0.8268019419111319,-1.215211828693995,0.30501248494981165,-0.3061444655589054,0.06556685518105172,-0.6522676200829859
67,Woo-hyun Yang 양우현,Woo-hyun Yang,Lions (KBO),26.0,111,35.2795540301705,0.108108108,0.243243243,0.076086956,4.793226227564196,-2.0145612232887444,0.5956264047116601,0.7405278385619627,-0.8426767528213157,0.3095170631593611,-0.7041245858413298
68,Jun Ho Yun 윤준호,Jun Ho Yun,Bears (KBO),25.0,180,60.76030822320017,0.061111111,0.244444444,0.108974359,3.109988700658534,-1.1507202093034317,-0.993241074163656,0.7614022093638734,-0.33887720209095096,-0.46233346865725006,-0.8217454500204397
69,Doo-sung Chang 장두성,Doo-sung Chang,Giants (KBO),26.0,188,66.36058075492778,0.042553191,0.202127659,0.034482759,7.665578688790013,-0.960861421539408,-1.6206444710992054,0.026024648710224207,-1.4800081881157834,1.6266376354635654,-0.8306611156199575
70,Yu-chan Lee 이유찬,Yu-chan Lee,Bears (KBO),27.0,124,45.84543464033646,0.064516129,0.274193548,0.064220183,7.035646661694545,-1.6563598548837897,-0.8781247324709075,1.278379657701494,-1.0244629189719,1.3377815694894597,-0.979310515083522
71,Ju Heon Lee 이주헌,Ju Heon Lee,Twins (KBO),23.0,116,59.40246795811923,0.025862068,0.318965517,0.166666667,1.79058440875,-1.1967533095222025,-2.18493547293934,2.0564232011531236,0.5449067455499683,-1.0673478460771975,-1.2114767767621903
72,Young Woong Kim 김영웅,Young Woong Kim,Lions (KBO),22.0,147,26.8887308767359,0.047619047,0.299319727,0.09352518,0.97619047125,-2.2990244352535294,-1.449378765525179,1.7150203009253808,-0.575541965172213,-1.4407891362812917,-1.5684923737587322
73,Gang Min Lee 이강민,Gang Min Lee,Wiz (KBO),19.0,163,9.904931149403716,0.049079754,0.257668711,0.006622517,1.77480158375,-2.874804204825479,-1.39999540070156,0.9912124184308556,-1.9067970532274263,-1.0745850788949645,-1.8499398929226436
