Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Ji-hyuk Ryu 류지혁","- - -","—",2368,0.099239864,0.160472972,0.618421052,0.275946876,0.360120326,0.339399901,0.699520227,0.063453025,5.014255212019577,0.330314009,3.6732394963037223,280.7900489214292,-9.003136208332487,0.33464266531643894,97.07590180125514,"Ji-hyuk Ryu","sa3012288",
"Sei-hyok Park 박세혁","- - -","—",1263,0.085510688,0.187648456,0.455696202,0.226449275,0.303787268,0.308876811,0.612664079,0.082427536,3.9633355790742923,0.275144508,-0.45469073217827827,107.77402983055272,-45.56476645722233,0.29275249204327985,70.45586971767013,"Sei-hyok Park","sa3012290",
"Jae-hyun Kim 김재현","- - -","—",613,0.032626427,0.218597063,0.149253731,0.22202166,0.265993265,0.276173285,0.54216655,0.054151625,2.2486555679602245,0.287735849,-0.8716223654337227,34.37077652693983,-44.228661514508765,0.25589737717551414,43.219342142056874,"Jae-hyun Kim","sa3012294",
"Ja-wook Koo 구자욱","- - -","—",2938,0.095302927,0.154526889,0.616740088,0.319535783,0.388263391,0.5172147,0.905478091,0.197678917,5.561161975267572,0.352514506,4.512582725146785,519.0592197612102,156.6242279097612,0.4060815465241435,142.5821068558186,"Ja-wook Koo","sa3012300",
"Hae-min Park 박해민","- - -","—",3068,0.094524119,0.152542372,0.619658119,0.280881793,0.357047428,0.361079437,0.718126865,0.080197644,6.655736107187074,0.3288807,7.301367377745919,374.9266157488061,-2.1261528988646656,0.33925343322801715,99.83142273179317,"Hae-min Park","sa3012304",
"Jun-tae Kim 김준태","- - -","—",587,0.12947189,0.264054514,0.49032258,0.238,0.337907375,0.362,0.699907375,0.124,3.1158051918802094,0.31858407,0.2564226003596559,67.59204115043508,-2.4965041123784983,0.33113249368274333,96.82397992974025,"Jun-tae Kim","sa3012310",
"Ju-suk Ha 하주석","- - -","—",1656,0.067028985,0.236111111,0.283887468,0.270053475,0.328239608,0.365641711,0.693881319,0.095588236,5.022241204771492,0.351648351,1.283243956626393,183.35725019751177,-18.6414344471873,0.324682180599892,90.5639834089492,"Ju-suk Ha","sa3012320",
"Seung-wook Park 박승욱","- - -","—",1219,0.087776866,0.271534044,0.323262839,0.258215962,0.333333333,0.344600938,0.677934271,0.086384976,5.453570072982868,0.364883401,-0.24197602516505867,130.68116993161584,-21.878012220536213,0.3193538985168091,85.58481485739026,"Seung-wook Park","sa3012327",
"Min-sik Kim 김민식","- - -","—",1039,0.115495668,0.181905678,0.634920634,0.21559633,0.313492063,0.293577981,0.607070044,0.077981651,1.848665215,0.260294117,-0.580980370985344,89.12323912651216,-36.87423456042134,0.29442657244146164,71.06797619692514,"Min-sik Kim","sa3012328",
"Yoo-seom Han 한유섬","- - -","—",2602,0.103766333,0.23289777,0.445544554,0.259902091,0.350404312,0.447708055,0.798112367,0.187805964,2.2539825563632476,0.310146777,-1.879113108268939,367.4657929126855,46.974492314898605,0.36328587279203284,115.39671760011075,"Yoo-seom Han","sa3012336",
