Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2025,"Junwoo Jeon 전준우","Giants (KBO)",39,114,410,472,120,85,26,1,8,50,70,44,2,71,9,6,3,9,2,1,0.292682926,"Junwoo Jeon","sa3012061",
2026,"Junwoo Jeon 전준우","Giants (KBO)",40,52,178,193,40,32,6,0,2,12,13,13,0,29,0,2,0,4,0,1,0.224719101,"Junwoo Jeon","sa3012061",
2023,"Kyoung-min Hur 허경민","Bears (KBO)",32,130,429,475,114,84,22,1,7,44,48,35,3,26,6,5,0,6,9,3,0.265734265,"Kyoung-min Hur","sa3012064",
2024,"Kyoung-min Hur 허경민","Bears (KBO)",33,115,417,477,129,94,28,0,7,69,61,36,0,25,18,6,0,8,5,1,0.309352517,"Kyoung-min Hur","sa3012064",
2025,"Kyoung-min Hur 허경민","Wiz (KBO)",34,114,420,481,119,97,18,0,4,47,44,39,1,35,15,4,3,14,4,1,0.283333333,"Kyoung-min Hur","sa3012064",
2026,"Kyoung-min Hur 허경민","Wiz (KBO)",35,51,163,187,51,40,8,0,3,33,26,15,0,17,7,1,1,7,1,2,0.312883435,"Kyoung-min Hur","sa3012064",
2023,"Sang-soo Kim 김상수","Wiz (KBO)",33,129,443,512,120,97,19,1,3,58,56,55,0,68,3,3,8,9,5,6,0.270880361,"Sang-soo Kim","sa3012065",
2024,"Sang-soo Kim 김상수","Wiz (KBO)",34,113,369,420,102,76,18,4,4,60,45,37,0,59,6,1,7,12,3,2,0.276422764,"Sang-soo Kim","sa3012065",
2025,"Sang-soo Kim 김상수","Wiz (KBO)",35,113,355,423,90,71,14,0,5,42,47,52,1,57,4,7,5,8,3,1,0.253521126,"Sang-soo Kim","sa3012065",
2026,"Sang-soo Kim 김상수","Wiz (KBO)",36,75,242,291,69,61,7,1,0,24,24,36,0,34,5,1,7,8,0,3,0.285123966,"Sang-soo Kim","sa3012065",
2023,"Hoon Jung 정훈","Giants (KBO)",35,80,201,233,56,36,14,0,6,40,31,26,1,39,0,2,4,4,2,0,0.278606965,"Hoon Jung","sa3012191",
2024,"Hoon Jung 정훈","Giants (KBO)",36,109,285,325,76,47,20,0,9,31,47,35,0,63,0,4,1,3,1,1,0.266666666,"Hoon Jung","sa3012191",
2025,"Hoon Jung 정훈","Giants (KBO)",37,77,185,200,40,27,11,0,2,14,11,10,1,40,3,0,2,4,0,0,0.216216216,"Hoon Jung","sa3012191",
2023,"Tae-gon Oh 오태곤","Landers (KBO)",31,123,272,305,65,43,14,1,7,37,28,18,0,67,4,3,8,6,20,1,0.238970588,"Tae-gon Oh","sa3012193",
2024,"Tae-gon Oh 오태곤","Landers (KBO)",32,117,247,288,68,43,16,0,9,43,36,31,2,73,1,3,6,4,27,4,0.275303643,"Tae-gon Oh","sa3012193",
2025,"Tae-gon Oh 오태곤","Landers (KBO)",33,122,194,229,39,28,6,0,5,31,26,30,0,59,1,1,3,4,25,8,0.201030927,"Tae-gon Oh","sa3012193",
2026,"Tae-gon Oh 오태곤","Landers (KBO)",34,74,196,216,45,29,7,0,9,27,27,16,1,61,2,2,0,8,7,2,0.229591836,"Tae-gon Oh","sa3012193",
2023,"Kang-nam Yoo 유강남","Giants (KBO)",30,121,352,403,92,69,13,0,10,45,55,37,1,64,8,4,2,13,1,1,0.261363636,"Kang-nam Yoo","sa3012221",
2024,"Kang-nam Yoo 유강남","Giants (KBO)",31,52,136,155,26,18,3,0,5,11,20,9,0,25,7,1,2,4,0,0,0.19117647,"Kang-nam Yoo","sa3012221",
2025,"Kang-nam Yoo 유강남","Giants (KBO)",32,110,303,350,83,60,18,0,5,35,38,26,0,66,13,5,3,11,0,0,0.273927392,"Kang-nam Yoo","sa3012221",
2026,"Kang-nam Yoo 유강남","Giants (KBO)",33,45,103,109,24,16,5,0,3,8,7,4,0,28,1,1,0,1,0,0,0.233009708,"Kang-nam Yoo","sa3012221",
2023,"Jong-wook Ko 고종욱","Tigers (KBO)",34,114,270,286,80,60,17,0,3,35,39,14,0,58,0,2,0,3,2,2,0.296296296,"Jong-wook Ko","sa3012243",
2025,"Jong-wook Ko 고종욱","Tigers (KBO)",36,46,115,123,34,29,2,0,3,13,16,5,1,17,0,3,0,2,2,1,0.295652173,"Jong-wook Ko","sa3012243",
2023,"Ji-hyuk Ryu 류지혁","Lions (KBO)",29,66,235,269,63,56,5,0,2,35,28,19,0,30,3,4,8,7,22,1,0.268085106,"Ji-hyuk Ryu","sa3012288",
2024,"Ji-hyuk Ryu 류지혁","Lions (KBO)",30,100,302,348,78,65,9,1,3,43,36,33,0,70,6,2,5,6,11,4,0.258278145,"Ji-hyuk Ryu","sa3012288",
2025,"Ji-hyuk Ryu 류지혁","Lions (KBO)",31,129,400,464,112,97,14,0,1,54,37,33,0,73,13,4,14,11,11,6,0.28,"Ji-hyuk Ryu","sa3012288",
2026,"Ji-hyuk Ryu 류지혁","Lions (KBO)",32,81,271,322,79,58,12,4,5,41,47,38,1,46,6,3,4,5,18,1,0.291512915,"Ji-hyuk Ryu","sa3012288",
2023,"Ji-hyuk Ryu 류지혁","Tigers (KBO)",29,66,220,253,59,52,6,1,0,28,17,27,1,43,3,1,2,6,4,2,0.268181818,"Ji-hyuk Ryu","sa3012288",
2023,"Sei-hyok Park 박세혁","Dinos (KBO)",33,88,242,283,51,33,9,3,6,35,32,30,0,43,4,1,6,3,1,1,0.210743801,"Sei-hyok Park","sa3012290",
2024,"Sei-hyok Park 박세혁","Dinos (KBO)",34,82,148,171,39,29,9,0,1,21,10,14,0,43,3,1,5,3,4,0,0.263513513,"Sei-hyok Park","sa3012290",
2025,"Sei-hyok Park 박세혁","Dinos (KBO)",35,48,86,93,14,9,3,0,2,8,10,5,0,28,1,1,0,3,1,0,0.162790697,"Sei-hyok Park","sa3012290",
2024,"Jae-hyun Kim 김재현","Heroes (KBO)",31,110,288,326,70,59,11,0,0,27,26,14,0,63,10,4,10,8,1,1,0.243055555,"Jae-hyun Kim","sa3012294",
2025,"Jae-hyun Kim 김재현","Heroes (KBO)",32,62,120,128,25,20,5,0,0,12,5,1,0,31,3,0,4,1,1,0,0.208333333,"Jae-hyun Kim","sa3012294",
2023,"Ja-wook Koo 구자욱","Lions (KBO)",30,119,453,515,152,103,37,1,11,65,71,53,2,81,4,3,2,5,12,4,0.335540838,"Ja-wook Koo","sa3012300",
2024,"Ja-wook Koo 구자욱","Lions (KBO)",31,129,493,568,169,96,39,1,33,92,115,55,4,73,12,6,2,6,13,4,0.342799188,"Ja-wook Koo","sa3012300",
2025,"Ja-wook Koo 구자욱","Lions (KBO)",32,142,529,616,169,105,43,2,19,106,96,73,7,91,5,8,1,9,4,1,0.319470699,"Ja-wook Koo","sa3012300",
2026,"Ja-wook Koo 구자욱","Lions (KBO)",33,66,245,287,83,58,14,3,8,49,57,35,2,41,3,4,0,2,4,1,0.33877551,"Ja-wook Koo","sa3012300",
2023,"Hae-min Park 박해민","Twins (KBO)",33,143,483,556,138,116,14,2,6,80,59,45,0,74,3,1,24,7,26,12,0.285714285,"Hae-min Park","sa3012304",
2024,"Hae-min Park 박해민","Twins (KBO)",34,144,482,553,127,99,16,6,6,72,56,46,0,101,11,9,5,3,43,13,0.263485477,"Hae-min Park","sa3012304",
2025,"Hae-min Park 박해민","Twins (KBO)",35,144,442,544,122,99,18,2,3,80,43,68,0,94,8,4,22,7,49,14,0.276018099,"Hae-min Park","sa3012304",
2026,"Hae-min Park 박해민","Twins (KBO)",36,85,282,336,82,67,12,0,3,50,35,27,0,44,8,6,13,3,24,6,0.290780141,"Hae-min Park","sa3012304",
2023,"Jun-tae Kim 김준태","Wiz (KBO)",28,69,115,136,24,17,4,0,3,10,23,19,0,32,1,0,1,3,1,0,0.208695652,"Jun-tae Kim","sa3012310",
2024,"Ju-suk Ha 하주석","Eagles (KBO)",30,64,137,151,40,29,9,1,1,16,11,10,0,33,2,0,2,1,1,2,0.291970802,"Ju-suk Ha","sa3012320",
2025,"Ju-suk Ha 하주석","Eagles (KBO)",31,95,276,305,82,64,14,0,4,34,28,12,0,66,5,1,11,9,2,1,0.297101449,"Ju-suk Ha","sa3012320",
2026,"Ju-suk Ha 하주석","Eagles (KBO)",32,27,78,85,20,18,2,0,0,5,6,5,0,21,1,0,1,1,0,0,0.256410256,"Ju-suk Ha","sa3012320",
2023,"Seung-wook Park 박승욱","Giants (KBO)",30,123,290,338,83,62,18,3,0,37,30,35,0,87,1,1,11,5,15,4,0.286206896,"Seung-wook Park","sa3012327",
