Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2025,"Won Yeong Choi 최원영","Twins (KBO)",21,119,103,115,29,24,5,0,0,37,2,4,0,20,4,1,3,4,8,4,0.281553398,"Won Yeong Choi","sa3023554",
2024,"Jun Jae Jeong 정준재","Landers (KBO)",21,88,215,240,66,52,8,5,1,40,23,19,0,49,3,0,3,3,16,5,0.306976744,"Jun Jae Jeong","sa3023563",
2025,"Jun Jae Jeong 정준재","Landers (KBO)",22,132,371,442,91,78,10,3,0,58,25,51,0,93,3,1,16,4,37,8,0.245283018,"Jun Jae Jeong","sa3023563",
2026,"Jun Jae Jeong 정준재","Landers (KBO)",23,83,285,336,79,64,8,6,1,43,27,29,0,46,5,5,12,4,12,4,0.277192982,"Jun Jae Jeong","sa3023563",
2026,"Jun Ho Yun 윤준호","Bears (KBO)",25,62,104,125,29,22,4,0,3,15,12,10,0,28,2,3,6,5,0,0,0.278846153,"Jun Ho Yun","sa3023644",
2025,"Hyun Min Ahn 안현민","Wiz (KBO)",21,112,395,482,132,87,19,4,22,72,80,75,5,72,9,3,0,4,7,1,0.334177215,"Hyun Min Ahn","sa3023680",
2026,"Hyun Min Ahn 안현민","Wiz (KBO)",22,33,108,144,34,22,7,1,4,21,23,26,1,30,8,2,0,2,2,0,0.314814814,"Hyun Min Ahn","sa3023680",
2024,"Sung Jun Won 원성준","Heroes (KBO)",24,51,112,125,28,21,5,0,2,12,11,10,0,36,0,2,1,2,2,0,0.25,"Sung Jun Won","sa3024193",
2025,"Ho Jun Lee 이호준","Giants (KBO)",21,99,132,153,32,18,7,4,3,20,23,14,0,33,3,1,3,3,1,0,0.242424242,"Ho Jun Lee","sa3025090",
2025,"Do Geun Yang 양도근","Lions (KBO)",22,116,166,198,43,38,5,0,0,23,16,18,0,41,2,1,11,3,5,1,0.259036144,"Do Geun Yang","sa3025621",
2025,"Ju Heon Lee 이주헌","Twins (KBO)",22,76,128,156,28,21,3,0,4,22,9,18,0,30,8,0,2,2,0,0,0.21875,"Ju Heon Lee","sa3025677",
2025,"Jong Sung Im 임종성","Bears (KBO)",20,33,83,89,23,17,4,0,2,7,11,3,0,26,1,1,1,1,1,0,0.277108433,"Jong Sung Im","sa3025682",
2026,"Jeong Bin Moon 문정빈","Twins (KBO)",22,34,83,94,26,12,5,2,7,14,20,10,0,27,0,1,0,0,0,0,0.313253012,"Jeong Bin Moon","sa3066841",
2026,"Hyuk Bin Gwon 권혁빈","Heroes (KBO)",20,55,131,143,22,19,3,0,0,9,9,6,0,37,3,1,2,2,0,0,0.167938931,"Hyuk Bin Gwon","sa3066877",
2026,"Dong Uk Yeo 여동욱","Heroes (KBO)",20,33,67,84,16,11,2,0,3,8,6,12,0,27,4,1,0,1,0,0,0.23880597,"Dong Uk Yeo","sa3066878",
2025,"Tae Hyun Jeon 전태현","Heroes (KBO)",19,77,182,207,42,37,5,0,0,20,10,20,0,59,0,2,3,2,4,0,0.23076923,"Tae Hyun Jeon","sa3066879",
2026,"Jae Hyun Park 박재현","Tigers (KBO)",19,82,304,330,86,64,11,3,8,44,39,19,0,62,0,0,7,2,16,3,0.282894736,"Jae Hyun Park","sa3066881",
2025,"Joon Seo Eo 어준서","Heroes (KBO)",18,116,324,360,77,61,9,1,6,48,27,30,1,75,2,1,3,10,1,0,0.23765432,"Joon Seo Eo","sa3066885",
2025,"Dong Jun Kim 김동준","Bears (KBO)",22,36,93,100,22,17,3,0,2,8,10,5,0,30,1,0,1,2,1,1,0.236559139,"Dong Jun Kim","sa3067160",
2025,"Jun Soon Park 박준순","Bears (KBO)",18,91,282,298,80,63,11,2,4,34,19,10,1,56,1,3,2,6,10,2,0.283687943,"Jun Soon Park","sa3067161",
2026,"Jun Soon Park 박준순","Bears (KBO)",19,54,217,234,73,48,9,5,11,28,39,12,0,46,4,1,0,7,1,1,0.336405529,"Jun Soon Park","sa3067161",
2025,"Chan Hyung  박찬형","Giants (KBO)",,48,129,148,44,31,8,2,3,21,19,11,1,26,7,1,0,1,1,1,0.341085271,"Chan Hyung ","sa3068748",
2026,"Gang Min Lee 이강민","Wiz (KBO)",19,55,150,162,28,27,1,0,0,13,15,8,0,41,1,1,2,4,0,0,0.186666666,"Gang Min Lee","sa3075927",
2026,"Jae Won Oh 오재원","Eagles (KBO)",19,67,107,123,23,19,3,1,0,29,9,13,0,18,0,0,3,2,3,1,0.214953271,"Jae Won Oh","sa3075934",
2026,"Jae In Shin 신재인","Dinos (KBO)",19,39,80,94,15,8,4,0,3,8,8,14,0,17,0,0,0,1,0,2,0.1875,"Jae In Shin","sa3075970",
2026,"Sang Jun Park 박상준","Tigers (KBO)",24,24,69,81,20,15,3,0,2,10,8,11,0,25,1,0,0,0,0,0,0.289855072,"Sang Jun Park","sa3076112",
2023,"Jae-Hoon Ha 하재훈","Landers (KBO)",32,77,201,229,61,43,10,1,7,35,35,19,1,53,5,2,2,0,11,0,0.303482587,"Jae-Hoon Ha","sa502535",
2024,"Jae-Hoon Ha 하재훈","Landers (KBO)",33,107,290,317,72,43,19,0,10,40,36,18,0,90,2,5,2,5,15,2,0.248275862,"Jae-Hoon Ha","sa502535",
2023,"Hak-Ju Lee 이학주","Giants (KBO)",32,104,110,122,23,18,2,0,3,22,13,11,0,31,1,0,0,2,4,1,0.209090909,"Hak-Ju Lee","sa502536",
2024,"Hak-Ju Lee 이학주","Giants (KBO)",33,43,95,105,25,19,2,2,2,13,4,6,0,44,2,0,2,0,0,1,0.263157894,"Hak-Ju Lee","sa502536",
2026,"Aderlin Rodríguez 아데를린","Tigers (KBO)",34,32,121,130,32,17,5,0,10,17,31,7,0,25,1,1,0,4,0,0,0.264462809,"Aderlin Rodriguez","sa511026",
2024,"Mel Rojas Jr. 로하스","Wiz (KBO)",34,144,572,670,188,116,39,1,32,108,112,88,9,115,6,4,0,10,2,1,0.328671328,"Mel Rojas Jr.","sa548194",
2025,"Mel Rojas Jr. 로하스","Wiz (KBO)",35,95,331,384,79,45,20,0,14,48,43,48,3,71,1,4,0,9,1,1,0.238670694,"Mel Rojas Jr.","sa548194",
2023,"Dong-Yub Kim 김동엽","Lions (KBO)",32,69,165,182,42,30,7,0,5,20,18,13,0,29,2,2,0,8,1,1,0.254545454,"Dong-Yub Kim","sa598813",
2024,"Ho-young Son 손호영","Giants (KBO)",29,100,396,428,126,78,26,4,18,70,78,17,2,65,9,5,1,5,7,4,0.318181818,"Ho-young Son","sa830429",
2025,"Ho-young Son 손호영","Giants (KBO)",30,97,328,375,82,66,12,0,4,39,41,22,0,66,10,4,11,9,7,0,0.25,"Ho-young Son","sa830429",
2026,"Ho-young Son 손호영","Giants (KBO)",31,60,149,165,33,20,9,0,4,19,17,11,0,30,3,2,0,3,2,2,0.22147651,"Ho-young Son","sa830429",
2024,"Yonathan Perlaza 페라자","Eagles (KBO)",25,122,455,522,125,77,24,0,24,75,70,63,5,129,2,2,0,6,7,5,0.274725274,"Yonathan Perlaza","sa917302",
2026,"Yonathan Perlaza 페라자","Eagles (KBO)",27,82,306,368,96,56,22,1,17,69,53,53,4,71,3,4,2,6,8,3,0.31372549,"Yonathan Perlaza","sa917302",
2023,"Kwang-Min Kwon 권광민","Eagles (KBO)",25,66,73,81,11,7,1,1,2,11,9,6,0,24,1,0,1,2,2,0,0.150684931,"Kwang-Min Kwon","sa943356",
