Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Ju Won Kim 김주원","- - -","—",630,2000,2360,518,364,78,16,60,303,260,227,5,508,84,16,33,28,106,27,0.259,"Ju Won Kim","sa3015141",
"Seoung Bin Son 손성빈","- - -","—",259,439,488,95,69,14,2,10,62,51,33,0,100,6,3,7,9,0,0,0.216400911,"Seoung Bin Son","sa3017864",
"Hyeon Joon Kim 김현준","- - -","—",319,983,1110,261,208,39,11,3,144,79,86,0,213,15,6,20,11,13,7,0.265513733,"Hyeon Joon Kim","sa3017998",
"Jae Hyeon Lee 이재현","- - -","—",503,1642,1921,411,277,73,4,57,258,237,201,2,352,28,19,31,32,13,5,0.250304506,"Jae Hyeon Lee","sa3018058",
"Do Yeong Kim 김도영","- - -","—",420,1445,1654,442,270,78,20,74,316,254,170,13,298,16,16,7,36,84,11,0.305882352,"Do Yeong Kim","sa3018059",
"Nicholas Martini 마티니","Dinos (KBO)","—",139,510,576,152,101,34,1,16,67,85,51,5,86,8,7,0,8,13,4,0.298039215,"Nicholas Martini","sa3018063",
"Chan Hyeok Park 박찬혁","- - -","—",123,386,419,85,65,13,0,7,31,28,22,0,129,9,0,2,4,0,0,0.220207253,"Chan Hyeok Park","sa3018071",
"Michael Tauchman 터크먼","Eagles (KBO)","—",144,575,648,166,114,36,4,12,88,43,64,5,104,7,2,0,12,19,11,0.288695652,"Michael Tauchman","sa3018075",
"Chan-ui Song 송찬의","- - -","—",169,369,427,82,48,20,2,12,56,53,33,0,116,20,3,2,10,7,3,0.222222222,"Chan-ui Song","sa3018197",
"Seong Bin Hwang 황성빈","- - -","—",422,1250,1383,354,288,38,22,6,241,84,92,0,209,10,6,25,9,115,33,0.2832,"Seong Bin Hwang","sa3018222",
