Season,Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
2026,"Byeong-woo Jeon 전병우","Lions (KBO)",33,286,0.108391608,0.269230769,0.402597402,0.220338983,0.346153846,0.343220338,0.689374184,0.122881355,3.1695335355582346,0.299363057,-0.7863633525557816,32.74116928349111,-3.5101808809223436,0.3297620170994809,90.31710304581111,"Byeong-woo Jeon","sa3011926",
2023,"Joo-Hyung Kim 김주형","Heroes (KBO)",27,81,0.111111111,0.333333333,0.333333333,0.147058823,0.256410256,0.176470588,0.432880844,0.029411765,1.1625939775,0.243902439,-0.053840689826756716,2.7256320638211675,-6.813439913317351,0.22673868980163184,28.573346236965797,"Joo-Hyung Kim","sa3011932",
2023,"Yongkyu Lee 이용규","Heroes (KBO)",37,174,0.109195402,0.126436781,0.863636363,0.233333333,0.319767441,0.273333333,0.593100774,0.04,6.167488615150603,0.269230769,0.025478090159595013,14.532325400170683,-5.959014402571321,0.2916900543279426,70.91935198022567,"Yongkyu Lee","sa3012015",
2024,"Yongkyu Lee 이용규","Heroes (KBO)",38,227,0.136563876,0.145374449,0.939393939,0.306010928,0.428571428,0.371584699,0.800156127,0.065573771,4.175902864134194,0.366666666,-0.7825161274522543,37.42847672870328,6.746909998561635,0.3846179127160992,121.99010910330554,"Yongkyu Lee","sa3012015",
2023,"Jaeho Kim 김재호","Bears (KBO)",38,302,0.099337748,0.079470198,1.25,0.283400809,0.37630662,0.372469635,0.748776255,0.089068826,3.684846937610569,0.301801801,0.5307965627871454,40.44121202048378,4.875783167448814,0.3573223996580693,113.70933326179403,"Jaeho Kim","sa3012016",
2024,"Jaeho Kim 김재호","Bears (KBO)",39,154,0.123376623,0.149350649,0.826086956,0.301587301,0.394557823,0.365079365,0.759637188,0.063492064,1.6383928525,0.3592233,-0.1332929478958249,22.178654290586387,1.3638469053801652,0.3603911768822443,106.5522917418371,"Jaeho Kim","sa3012016",
2023,"Sok Min Park 박석민","Dinos (KBO)",38,107,0.130841121,0.205607476,0.636363636,0.193181818,0.320754716,0.238636363,0.559391079,0.045454545,1.1845238025,0.242424242,-0.09571678191423416,8.522800724037772,-4.078195591441507,0.2866538554992316,67.63592743510462,"Sok Min Park","sa3012020",
2023,"Minho Kang 강민호","Lions (KBO)",37,495,0.098989898,0.131313131,0.753846153,0.29032258,0.366396761,0.44470046,0.811097221,0.15437788,3.2201808903130367,0.307262569,0.35627464996650815,73.15673403133238,14.86240528215254,0.375400250906847,125.4954565925277,"Minho Kang","sa3012023",
2024,"Minho Kang 강민호","Lions (KBO)",38,452,0.077433628,0.115044247,0.673076923,0.302729528,0.365044247,0.496277915,0.861322162,0.193548387,2.9367516484379927,0.304733727,0.2821475947275758,72.84771059978134,11.754899313331906,0.38030378659566244,119.24105155059246,"Minho Kang","sa3012023",
2025,"Minho Kang 강민호","Lions (KBO)",39,465,0.08172043,0.148387096,0.550724637,0.269417475,0.336206896,0.417475728,0.753682624,0.148058253,1.9818841293896665,0.292899408,-0.9254284407943487,58.484147431285336,1.9078779387783562,0.3414126746032549,103.3722229406289,"Minho Kang","sa3012023",
